name,url,image
Botanico,https://botanico.se/,assets/screenshots/Botanico.png
"Sunshine Restaurant Group",https://sunshinerestaurantgroup.se/,assets/screenshots/SunshineRestaurantGroup.png
"Brasserie Voyage",https://brasserievoyage.se,assets/screenshots/BrasserieVoyage.png
"Magic Flamingo",https://magicflamingo.ll-01.thedock.space/,assets/screenshots/MagicFlamingo.png
